author_name,rating,text
吳再薪,5,"服務態度好
今天點的肋眼心很好吃。
晚上外頭有點燈也很美"
Money SML,5,"上週日和家人去用餐 本週還要再去～
味道確實較淡是感覺相當健康的低鹽料理
但食材非常新鮮 小卷很甜 寬版麵很特別
海鮮燉飯滿滿的海鮮 肋眼心 鴨腿也好吃！
環境很舒適 是適合帶家人去的餐廳！"
Sal.A p,5,"這裡是世外桃源！一般人很少會想去校園餐廳
但其實這裡的氣氛超浪漫💕適合情侶約會
宴會 會議包場各式活動也都可以在此舉辦
餐廳內附有硬體設備，企業活動也很適合
半弧形的設計，四周環繞著落地窗，
很美，性價比超高的西餐廳
價位也很不錯，物超所值"
王佑承,5,"很棒，母親節帶爸媽去他們也說食材很新鮮，
覺得菠菜蛋糕+芋頭冰淇淋很特別，我會為了這道再訪第二次！"
陳嘉年,5,第一次來，感覺環境很明亮舒適，服務人員的服務態度也很不錯！除了提供餐點外，也備有酒類可供選擇！比較驚艷的是，提供的餐前麵包有二種，桌面也備有橄欖油與橄欖醋可供沾薰，貼心！
Janet Tsai,4,"空間和服務不錯，食物也還可以
點了伊比利豬枸杞燉飯很喜歡，有淡淡中式枸杞味又看不到枸杞。莎莎剝皮辣椒雞胸有點過於清爽
不錯的經驗，價錢有點高就是了～"
WOW Chi,4,十年前的愛店沒想到現在還是能一樣維持水準.挑高的空間非常舒適.可惜麵包不能續加了...
外星人,5,"發現了台大裡面的新餐廳
之前都不知道有這家
高級西餐，好吃，服務好👍"
YEH PC,3,環境清潔餐點好吃，但甜點還有改善的空間
Jared Tseng,5,"甜點好吃
PIzza好吃
燉飯小硬
料很豐富
單價小貴
位於人文會萃的台大校園明達館，LivingOne 為挑高9米的寬敞圓弧空間，佔地80坪，以大片落地窗採集日光，並提供靈活的空間應用形式，用餐環境可容納100人。 秉持「分享、幸福」的理念，採用在地、當令食材入菜，透過空間與食物傳遞新鮮、純淨和自然的生活態度。
1.
LivingOne明達館自2020 / 03 / 16 …"
葉勝鋒,5,"覺得氣氛很好 但是今天的餐點一般
特別魚肉有的覺得cp值低了些"
陳德嘉,4,餐點好吃，環境舒適，惟價位稍高。$500+/人
Andy Chu,5,幫姐姐搬完宿舍後，和弟弟、姑媽、哥哥一起來此吃晚餐，麵包沾油醋還是一樣的好吃，可惜不能再免費續麵包了。各式餐點也是很好吃，晚餐都要點套餐，減重的人就讓旁邊的人代勞啦！摸肚子
June Yang,5,"很不錯的婚禮場地
Buffet式的安排"
湯源,5,"原本想說跟親戚用餐會很混亂，
但餐廳服務很好，讓長輩們都超滿意！
兒童餐的口味很適合小朋友，不會太鹹影響健康～"
郭慶森,5,"😄😄大家好：
今天中午特別去位於台大校園內（明達館：一 樓）體驗擁有無敵挑高（約有：10 米高）美景的義法式餐廳：「 Living One 」蠻有值回票價的感覺！今天點了（海鮮燉飯）先上：番茄鮪魚生菜沙拉、番茄濃湯（超級濃）再上：主菜；最後上：甜點、飲料。今天附贈了許多（小點心）本來二點休息特別延長到三點！😄😄真的是太過癮了。［花費：$ 620.+ 飲料升級熱拿鐵 + $30.+ 10 % 服務費 = $ 715.元］美食 & …"
quantumtw,2,"1. 餐廳自創令人費解的術語「二油一醋」？
2. 說要去冰，結果沒去；說要加糖，好像也沒加
3. 餐點份量不足，連長輩都沒飽"
Jerry Yang,5,"高貴不貴的西餐廳，可惜很少人知道就在校園內，環境沒有商圈鬧區那樣的吵雜，適合帶貴賓來吃飯的好地方。
停車場有兩種選擇，一是停太子長興學舍，二是直接開進來學校。"
Barry Lo,5,環境優雅、氣氛佳、嫩煎挪威鮭魚及煙花女海鮮燉飯都好吃。
VIC LIU,5,"很好吃~以後會常常去!
服務人員態度很好，餐點的調味很剛好，食材也新鮮"
