author_name,rating,text
shien hs,4,"今天點了兩個頓飯♥️
👉松子青醬蘑菇：第一口吃下去時，白酒味十分濃厚卻不嗆鼻，青醬頓飯也沒有什麼湯湯水水，完全與米飯完美結合，搭配白白的松子更有嚼勁，而且別小看蘑菇看似微焦，其實裡面超多汁！！（吃到差不多一半就飽了..）
👉德式香腸奶油南瓜燉飯：覺得蘇活對於處理菇類真的很驚艷！杏鮑菇一樣很多汁，香腸單吃有點鹹，但是搭配米飯其實味道蠻中和的！南瓜部分在下一段分享 …"
yushien,5,"用餐環境優美，服務態度佳⋯
單餐點為區塊餐廳中相對比較低一點的。
肉醬義大利麵美味而且很開胃，份量極多。
南瓜湯十分濃郁美味。
義式香草雞肉麵是雞腿肉十分香嫩。
但麵比較油一點點。
飲料就普通了點⋯櫃檯很隱密，沒有收服務費。
下次還會再來"
Lukas Wang,2,"5/8中午用餐，先不論點錯餐上錯菜，掌廚不是熟悉的阿姨，味道完全跑掉難以下嚥。

肉醬麵死鹹，白酒蛤蜊麵奶油都沒化開就上桌，除了麵條口感適中，口味不敢恭維。

原本是長期光顧的店家，未來上門前得先確認今日廚房站的是誰了。"
Hung Chiu,5,"目前吃到的都還沒雷！
超多蒜炒類、茄汁類
麵條有嚼勁又Q彈 份量超大
醬汁濃郁多汁 料給的不手軟"
喌阿嘴,5,"店家很親切 餐點都很豐富 今天點的羅宋湯和脆蒜拌炒辣菇蔬菜麵的料真的很多！ 蔬菜口感很脆
另外還有松子青醬蘑菇燉飯的香味濃厚"
PEI-YU HUNG,3,"青醬燉飯很好吃
但是環境衛生不是很好
還沒點餐前，靠近櫃檯負責做義大利麵的廚師，雖然戴口罩，但是全身上下大汗淋淋，汗幾乎是噴的，很難不讓人覺得義大利麵上是否沾了汗水在裡面，因為太害怕最後改點燉飯🥵"
謝宛蓁,4,湯的料多到滿出來XDDD，光喝湯就開始飽了。麵是好吃的不會太軟，不是那種會讓人失望的台式義大利麵，但$280只有湯跟主食還是有點太貴了。
楊斯顯,5,煙燻起司煙燻雞肉麵很好吃，味道濃郁，飲料紅茶也夠濃不是淡淡像水的。
李翰威,5,先不說不落俗套的醬汁和彈牙的麵條，能把經典口味跟創新義大利麵都做到這個程度真的很厲害，而且價格還比外面的餐酒館便宜很多！
此此,3,看了評價後前往用餐，服務人員態度很好，上餐速度很快，當天點了紅茄乳酪煙燻鮭魚麵，同行友人點燻雞奶油蘑菇燉飯，兩份都是加南瓜濃湯。店內環境適合休閒用餐，份量很足但兩份餐點及湯味道都偏淡，不適合重口味的人，鮭魚沒有煙燻味但麵有，魚大塊但有些柴、沒吃到乳酪味，番茄感覺沒有用外面的番茄醬，是新鮮番茄，但整體來說爽口。奶油蘑菇燉飯也是偏清淡，沒有濃濃奶香味但順口，配料好吃！紅茶可以續杯，淡淡紅茶有著香味我滿喜歡的，服務態度真的很好，阿姨在餐後還詢問我感想，但還是希望疫情期間內場廚房人員 …
馮依婕,4,"我超級愛這家店的！
身為青醬的愛好者
青醬培根義大利麵是定期來吃的必點❤️
如果不會變胖的話，我可以每天都吃它...😆
青醬培根義大利麵有五顆星！
🌟🌟🌟🌟🌟

因為沒吃過冷麵所以點了煙燻鮭魚橙汁冷麵
麵很Q彈搭配橙汁也很夏天的清爽風味
只是鮮黃的橙片有點太多片了
每當橙片混雜在義大利麵中一同入口時
總會被苦硬的橙皮給驚嚇到
若能將橙片細削成絲相信口感會更好

已經N訪蘇活了
只是這次才有認真寫評論😆
本來很想給五顆星
但還有些上菜速度太慢、紅茶太甜、價格越來越貴、環境普通等小小缺點可以改進
希望不要再漲價了呀😨"
Laura,4,"偶然晃到的 價格在這區非常實惠
沙拉好吃到一個不行(生菜有裹一些油 上面有起司屑🤤 經驗中數一數二好吃的沙拉)
玉蕈奶油是細扁麵(個人偏好 搭這種麵能把醬料吸好沾滿 很喜歡) 也因此味道十足 口感很香濃 實在有被驚艷到
美中不足的是蕈菇好鹹 鹹到跟他的同伴洋菇有很大的差距 不知道是不是有特別處理過 以及吃到最後會過於油膩 不過總體讓人想再次光顧
附上甜點奶酪照"
藥師寺若雪,5,"嗚嗚嗚連蘇活都漲價了
不過還是好吃QwQ
最喜歡肉醬義大利麵，燻雞乳酪義大利麵也滿好的
免費提供紅茶，湯會更換"
hao chien,4,好吃！尤其是冷麵。店家很親切
arag LU,4,上次來蘇活已經是好幾年前的事了。小小的店一點都沒變，只是漲價了不少。週末沒事先訂位，很幸運的還有位置，稍晚點就全店客滿。只是三張雙人餐桌比鄰，有點狹小干擾有點大，不是很好聊天。點了脆蒜辣菇義大利麵。一大把的松子很療癒。滿滿的乾辣椒讓麵條非常香，只要不把辣椒吃下肚，連不吃辣的人都能接受。
李謙,5,"食材跟份量都很多，麵的口感也很好 醬汁很入味、
店內態度親切  聚餐來這很不錯"
Wei Chen,5,"離捷運站不算遠，走八分鐘左右就到了
店內有賣素食的餐點，味道很濃很香很好吃，而且素食餐點是會單獨調配，可以讓有吃葷跟吃素的人一起用餐，服務人員也很親切，第一次去不知道有飲料，服務人員就幫我裝好拿到位置上，讚哦！"
35721 35721,5,品質很好，喜歡羅宋湯，只是後面南瓜燉飯有點膩
Samuel Kuo,5,清炒的義大利麵吃到了廚師的功力，真是好吃！飲料喝到飽也不含糊，古早味紅茶不錯。
辛明燕,5,"假日人多建議提前預約
闆娘親切大方
餐點量多平價好吃～南瓜濃湯不濃稠但特別夠味👍🏻
紅茶不會太甜我喜歡！
可惜白酒蛤蜊收得有點乾～希望汁能多一些！
店內氛圍和音樂格調像國外寄宿家庭般溫馨🌝"
