author_name,rating,text
Berryle Chen,5,老椪糖鮮奶茶半糖微冰喝起來還不錯，椪糖融化後鮮奶茶更濃郁，只是一杯60元有點小貴，店員蠻親切的，而且感覺他們感情蠻好的。
Chun-Ming Chang,2,"2021.02.24 = ★★☆☆☆
◉簡評：珍珠鮮奶茶，口感比較稀薄，粉圓過Q，不是我的菜。🤔
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
吃完【壹之穴】，走到隔壁巷弄找飲料。路過【方最茗品】，看起來人氣很旺，又不是連鎖的，試試。

☑珍珠鮮奶茶(60元) = 杯子外觀...看起來很樸素，而且杯子感覺比較小??? …"
Coco Lin,4,"很有質感的一間店，小地方也很美麗，店員很親切回答關於飲品的問題～
椪糖鮮奶茶，半糖微冰，好喝，但真的好甜，可能因為平常都喝無糖的關係，真的很不習慣，但糖很香，可惜沒什麼茶味。
會想再回訪^^"
洪笛恩,5,之前來買過椪糖鮮奶茶（60），非常特別又好喝～～～
Pin Liu,5,"最常喝老椪糖鮮奶、鮮奶茶跟方最鮮奶茶
椪糖的味道有點想台式焦糖 個人很愛🤍🤍🤍
喝到怕自己會腎結石 咩噗
住在附近 基本上只會和這家飲料店
下次想是cheese系列"
諠,3,嗯⋯喝不出碰糖味，感覺就是普通的鮮奶茶，沒有特別好喝。
Wadirum,4,"若是開在住家/公司附近，應該會成為不時到訪的飲料店😆 ((還好都不是，飲料還是不要喝太多
假日外出覓食，無意間發現的文青飲料店，內部裝潢樸素，創業老闆群超年輕，還有很多獨創品項，是別家找不到的。
☑️椪糖鮮奶茶：椪糖是台南的名產，能將其加入鮮奶茶中，味道口感肯定不錯。一開始是對這杯很有興趣，但剛剛吃了有些油膩的炸物，奶茶就下次吧😅 …"
Joan Lai,1,"員林芭樂紅，毫無茶味。
珍珠鮮奶茶，珍珠口感過硬，鮮奶茶味無茶無奶味。
推薦給喜歡白開水的人。"
Donna Yeh,5,超好喝的奶蓋（芝士系列），很綿密也不會過甜或過鹹。也很喜歡椪糖系列～
Rachel Wang,4,老椪糖鮮奶茶加珍珠（半糖去冰，70元）喝起來像黑糖珍珠奶茶，椪糖薄脆。
mica Lin,5,"要排隊但是很快就拿到了👍
老椪糖鮮奶茶好喝～
芭樂綠茶普通"
州,5,"【金萱烏龍茶+奶蓋 55元】

超喜歡奶蓋(˶‾᷄ ⁻̫ ‾᷅˵)！烏龍本身還可以，和奶蓋還算搭配～

*更
新增椪糖珍珠鮮奶茶
椪糖口感很酷，喝起來有層次。"
JopheiY,3,老椪糖鮮奶茶的甜味很特別，是其他地方沒有喝過的滋味！最低糖度是半糖，對不太愛喝甜的人來說還是會有點負擔~
陳小黑,3,鮮奶茶還不錯順口 但是這個珍珠真的不行啊 太硬了
cherrybeer,5,"芭樂檸檬去冰微糖超級無敵好喝！！！
感謝ubereat讓我找到優質店家~~~"
林冠安,5,超好喝 鮮奶茶 雖然貴一點 但屌打其他家
Hsuan Ko,4,"老椪糖鮮奶茶味道特別
最少只能半糖或全糖
對我來說有點甜"
陳威佑,5,老椪糖系列真的很不錯，而且在台北真的不常見，相當值得推薦
王亦真,5,心目中第一名的飲品！！天然又好喝，老闆很用心，超級推薦椪糖奶茶，還有芭樂綠茶！
Sognatrice Pigra,5,"飲料好喝 推薦老椪糖鮮奶茶🖤很特別好愛
喝完回家的路上 已經在約朋友下週再去了
btw有外送服務唷讚讚"
