author_name,rating,text
Ablade Freeman,5,我是唯一的客戶，在這個世代要持續投入資金開實體書店，一定有崇高的使命，雖然沒有打折，我願繼續支持金石堂，直到生命終了。
FU Chen,5,位於公館商圈的汀洲店為金石堂的起家門市，走下B1樓梯，門市外頭飾咖啡飲料店
wu mason,5,從小到大的回憶，每到公館商圈一定會來這邊逛逛。如今也是碩果僅存的幾家金石堂書店。
簡依文,5,以前很常來~現在都用電子書跟博客來就少出現了！但今天角子哥前書會！死也要來阿！謝謝你們！
Evan Liu,5,只是路過金石堂，目的點是瑪德蓮小酒館， 還是喜歡去書店逛逛的感覺， 隨手挑了一本書，  老闆還給我85折， 人類大歷史， 在餐廳吃著品嚐女主人燉肉， 展開我的學而時習之。
Candy Chang,4,"1.夜市裡的一塊淨土，在B1, 走下樓梯是開放式空間,但好像出租給飲料店， 空間很多椅子限定消費才給座位，太商業化很可惜！
2.看店的男服務員顧著看監視器，服務態度～～～待加強！"
SHAO HANG TU,5,"有好多的專櫃都在講自我成長，改進自己的缺點，面對自己的憂鬱，情緒，
找到你可以看得下的書，來改變自己。"
ching yang,5,為複合式商店，書本、文具，餐飲都有，B1的空間很大，在裡面可以逛很長的一段時間。
何京致,5,從小逛到大的地方。旁邊還有法式瑪德蓮餐廳，有金石堂的禮卷，這裡也可以使用。很多熟悉的金石堂的點，都一個一個不在了，希望這家最熟悉的能夠繼續長存。
高森莫澈,5,"在等人及等待時間
常進來這逛逛
在裡面待著是很享受的
書不是太多
本人喜愛的書較少在畫架上列
氣氛不錯
如遇到有辦活動  空間就很擁擠
頭一次在這裡打卡
棒"
林怡萱（XiY）,5,"因空間大小限制
加上有賣文具跟桌遊、立體拼圖等
書量無法很多
動線整齊、空間不擁擠"
蔡品萱,5,寬敞舒適文具用品俱全還有美食餐供應歡迎來逛逛謝謝
小凱詹,5,來拍攝苗可麗新書發表會
楊豐榮,5,坐落於台北市台灣大學附近的書店，店內是賣書，而B1戶外小廣場，適合辦的講座和發表會的地方。
K. John Lu,4,很棒的書店，多支持紙本的書店，否則以後在網路上看到好書的機會會更不容易
09郭寶翔,5,附近很多逛街的地方，剛下樓梯的庭院很可愛、充滿文青氣息，為這裡增添不少印象分數。環境整潔舒適，空間寬敞明亮，是個放鬆身心、讀書的好地方。藏書量也很足夠，店員親切。會繼續來光顧。
廖淑惠,5,可以在這裡購買齊全的文具用品，也可以和小朋友安靜的親子共讀的好地方
鄧琬琳,3,"今天第一次來到這裡，本來很開心
因為看到大家的評論都很好！
結果12:00才開使營業
所以就到附近寶雅逛
下午才進去金石堂，空間真的很寬敞
書籍很多，擺放的很整齊！

販售的東西很多元化！

不過有些人根本沒在看書，卻坐在椅子上睡覺，覺得很誇張！店員也沒有管制！

反而像我們這種真的想看書的人，沒位子坐
逛了5個小時，挑書，腳超級痠！

想上洗手間也不方便，隔壁的餐廳不外借

我還聽到有人跟我一樣想上個廁所還要到1樓的寶雅或是對面的水源市場上！
超級不方便！

收訊不佳，結帳有些麻煩！"
方英華,4,12／22午後，第一次來這裡逛，恰巧碰到辦活動，是真的有點吵 ! 沒有待很久，雖然也帶了幾本。但我想說靠後面方向的櫃檯小姐服務態度不錯，除忙著接聽電話外，遇客人詢問也很客氣的回答，邊整理書籍還能很有耐性的幫我們結帳。
jason su,5,逛起來很舒適，很安靜，適合悠閒的午後來。
