author_name,rating,text
y.r lin,5,"雖然做錯餐點 😂😂😂
但服務態度真的超好 👍
還提醒客人可以用買一送一優惠 ❤️🥰"
葉大功,4,外面視野遼闊，店裡很寬敞，很休閑！
Mi Hsuan Chen,2,餐點跟服務部分同一般星巴克，無特別好壞，主要是座位少，插座也少，wi-fi時好時壞，已經坐在窗邊，但自己手機的網路也無訊號(中華電信)，個人認為極度不適合帶筆電去工作(尤其是需要遠端溝通的)，供大家參考。
柔柔咖,3,路過剛好沒人排隊，進來買個飲料。
Wen Yao,1,麼豆都沒顧，豆子都撒出來一堆，說不好意思陪了一點店麼好的咖啡粉，結果回去沖同事都說有臭味，星巴克服務及產品品質怎麼會這樣糟？！
dinghantsai21,2,今天才知道原來我的名字叫做牛肉起司可頌
周傳威,4,興和門市近捷運科技大楼站，地点好，人潮多。一進入門市大門，聞到陣陣咖啡香...，陳列西点麵包点心，都秀色可餐，價位高檔，實在好吃。服務好，真是咖啡中極品。若您介绍男女朋友首選约会最佳地点。甚至遇到「買一送一」活动。真如中獎喜悦！
董誼家,4,"附近相較之下，品質和服務更好且穩定的星巴克。雖然店內空間少了些，內裝舊點，但是每次去與旁鄰的幾家SB比起來好得多！

感謝！ 讓人有好心情的拉花！"
Chen Ada,2,"之前在別家分店都會叫「飲料名＋姓（先生/小姐）」，這次我以為會叫。

所以點了一杯飲料外帶，然後在座位上等，等很久都沒有好 覺得奇怪，後來自己跑到櫃檯問，才知道我點的飲料早就做好放著，就是不叫我…"
catlinging,4,"鄰近捷運科技大樓~

店不大。小小的。位置約25個。
不過店內空氣流通舒適。
店員也和善。

店內商品櫃的商品很多元。"
季節雨,5,8/26 15:00 點了一杯冰拿鐵，想好好充電~結果打翻~店員(A)幫忙整理乾淨，...後來又送上一杯新的拿鐵。非常意外的服務，十分抱歉造成打掃麻煩並感謝貼心服務! 謝謝這樣美好的對待客人! HAVE A NICE DAY!
黃琹,5,不用我問店員就知道我在找吸管🤣👍👍
HsinFang Lee,5,近科技大樓捷運站，方便碰面
Tai Yi Tseng,5,"店員都還蠻親切的~
軟法麵包&藍莓貝果🥯👍"
Nina A,2,店員親切！但去好幾次廁所洗手都沒水，水龍頭只有滴水，不知是否沒維修？！疫情期間這樣衛生實在很不好！
TPC,3,座位太少空間擁擠
陳雪莉,4,小而美的門市，魔幻美人魚星冰樂味道普普
Rex Liu,4,新口味有時候不要隨便嘗試
Joshua Lung,5,對比炎熱的室外，這裡面可舒適多了。與好友各享受一杯咖啡說古論今，不知不覺就幾小時過去了，然後互相祝福保重。
Yuki Liang,3,喝了快一半才發現有頭髮，覺得失望。但事後客服有回應，以後若有機會再路過，應該還是會試試看
