author_name,rating,text
Vittoria C,2,"打電話預定 晚上6:40
服務生說那幫你預定7:00
6:50提早到餐廳門外 就是這種場景
上前詢問只說先排隊登記
服務生當時還在喊6:00取餐的客人
制度不妥 動線也沒安排
防疫期間在家用餐的意義完全沒有
所有人聚在餐廳外面等同於群聚
現在規定戶外只能十人
請問貴公司有符合規定嗎
那打電話預定的意義在哪
是不是越早定 就可以先取餐
如果要趁疫情期間賺錢 不是拿客人的生命做賭注"
MingHo Wu,5,"馬辣開到 半夜四點
最近吃遍了 各家 馬辣 新馬辣
在湊 10點 可以 第二人免費

這家公館馬辣 居然不是提供菜單
用畫的 是要客人 自助吧一樣
拿著餐盤 去夾 海鮮跟青菜之類
餐盤只有一個 感覺不太夠用

還有提供生啤酒
冰塊 居然變成一灘水
可能 喝啤酒的人 比較少
我最近也在戒酒  /. \

安格斯黑牛 跟 頂級牛梅花
真的好吃  可以涮一下就吃了
五分熟 即可

哈根達斯的冰淇淋
有一櫃 溫度調太低
凍到太硬了 不好挖
巧克力口味還是比較好吃

服務員 服務很親切  認真
有常巡邏 幫忙替換空盤子

位子是沙發的座椅
非常舒適 桌面很大"
Shawn Feng,3,"【外帶半價之亂】

原意應是鼓勵民眾待在家，自取外帶避免群聚。結果卻因半價、多給肉太夯，一堆人根本訂不到變成現場排隊。這張照片拍攝於11:20左右，排到爆。

只給三顆星是因為流程沒控管好，再加上到了現場才知「只能從四人份」買，二人的要先打電話預約。

這還不包括你有沒有那個命打的進去，只要查詢一下FB就發現幾乎全台各店都打不進去。現場還說，如果要二人最快一點半才能拿。 …"
Joseph Chang,2,點了麻辣湯外帶結果內容全錯，變成蔬菜精力湯，刀削麵變蒸煮麵。手機對結果單全錯，是發生什麼事lol，這樣是不是一次兩組客人受害，真的是一石二鳥。疫情期間共體時艱，還是留兩顆星好了⋯⋯
Joanne Wang,5,好吃的麻辣鍋 疫情期間推出的外帶五折專案不但超級優惠  而且因為訂了很多份還幫忙拿到車上  服務不打折很讚  不過預訂電話超難打進去😃
Allen Tsai,4,冬天有季節限定的草莓吃到飽，公館店空間比較擠，取菜的時候要等一下，飲料種類比較少，價格也比較低，整體來說還是很不錯
Daniel Luan,1,如果真的要用特價打廣告，就不要怕人家買，門市電話完全打不通。 買到了回家發現少食材.....
Bella Tseng,4,防疫期間只能外帶，但外帶套餐的份量好少，4人份的湯/肉/青菜和其他火鍋料加起其實只夠2人吃，防疫期間只能這樣了
judy,2,防疫套餐（6人，4人），火鍋料每盒都一樣，青菜袋也都一樣，；且量少，對不起馬辣的品牌
YURO,4,"價格合理有很多的選擇
CP值很高
冰淇淋多樣化
菜色豐富
有咖哩飯
只能現金付款（小小缺點）
座位普通，顛峰時間需要排隊等待"
Kenny Jean,1,"防疫期間的外帶爛的可以, 食材爛, 包裝爛, 完全配不上頂級兩字"
貓頭鷹Fiona,5,"大年初一遊自來水博物館。
一旁馬辣店內價格單一價，國小兒童半價，不限肉品吃到飽。

草莓、天使紅蝦、螃蟹、和牛、牛舌無限供應，哈根打斯16種口味滿桶任選，一旁還有莫凡比兩冰櫃。我站在菜料冰箱前看10秒，服務人員立刻問需要什麼，我說想拿紅蝦正好沒了，一分鐘又立刻端滿盤紅蝦出來。

草莓大家滿盤滿盤拿，幾次經過冰箱，還有草莓在盤內等大家夾，不只草莓，蓮霧、葡萄、哈密瓜、棗子都是漂亮的水果。 …"
陳聖文,1,"打電話訂購外帶都打不進去，到現場排隊半小時
電話都沒響過，不知貴公司電話是否壞掉
買完回家東西還少東少西的打電話也打不通
外帶麻辣鍋的豆腐沒有一塊是好的都很碎不知怎麼吃"
李卓軒,2,前兩天去買了外帶防疫套餐，漏給滷三寶，傷心
方美芳,4,食材豐富多樣化，服務到位，唯一的缺點是座位太過擁擠。
Wan-Yu Yang,1,本來要打電話訂防疫套餐，結果打了四十通根本打不進去......
花併澤,5,"環境乾淨，有收一成服務費用
店員態度很好，上菜速度也很快!!
酸菜白肉鍋跟羊肉意外搭
比較特別是其他食材都要自取不用畫單~
覺得這家鮮蚵味道很讚
哈根達斯有兩款調酒冰味道不太好吃><(其他都很不錯)"
陳芷晴,1,"吃過最糟糕的馬辣，絕對不會想再訪!!
店內還人五星送海鮮，但讓人無法違背良心這麼做

3/13 中午1:30用餐
環境狹小髒亂，食材很少且不新鮮，座位動線都讓人極為狹窄不舒服，店員端個東西都會撞到客人

廁間地板滿是垃圾排泄物，直到用餐時間結束也不見有人清理，且全店男女客人店員混用兩間廁所，光是排廁所就很久

自助食材櫃的食材補充很慢且量很少，一兩桌客人就會全部取完，蔬菜類只有寥寥幾株，海鮮類食材上都還有厚厚的未解凍冰塊，一煮就碎吃起來粉粉的很不新鮮 …"
Jasmine Tsai,5,肉好吃不韌不卡牙、尤其推薦牛舌，很Q彈！海鮮蔬果品項也很豐富、補充速度快，桌邊服務也很迅速、態度良好，推薦👍🏻
許哲瑋,1,"電話有夠難打
建議老闆取消電話這樣就不用浪費錢繳月租費"
